Time - Plot 0	Amplitude - Plot 0
0.3888	-2.18E-05
0.3889	-8.68E-05
0.389	-2.18E-05
0.3891	-2.18E-05
0.3892	-0.000119236
0.3893	1.06E-05
0.3894	1.06E-05
0.3895	-2.18E-05
0.3896	4.31E-05
0.3897	-5.43E-05
0.3898	-8.68E-05
0.3899	1.06E-05
0.39	-8.68E-05
0.3901	1.06E-05
0.3902	4.31E-05
0.3903	-0.000151701
0.3904	-5.43E-05
0.3905	-0.000151701
0.3906	-8.68E-05
0.3907	-8.68E-05
0.3908	-8.68E-05
0.3909	-8.68E-05
0.391	1.06E-05
0.3911	-2.18E-05
0.3912	1.06E-05
0.3913	-5.43E-05
0.3914	-2.18E-05
0.3915	-5.43E-05
0.3916	-5.43E-05
0.3917	-5.43E-05
0.3918	-0.000119236
0.3919	-5.43E-05
0.392	-0.000151701
0.3921	-0.000119236
0.3922	-0.000119236
0.3923	-5.43E-05
0.3924	-2.18E-05
0.3925	-5.43E-05
0.3926	-5.43E-05
0.3927	-0.000151701
0.3928	-2.18E-05
0.3929	-5.43E-05
0.393	-2.18E-05
0.3931	-2.18E-05
0.3932	-0.000216631
0.3933	-0.000119236
0.3934	-5.43E-05
0.3935	4.31E-05
0.3936	-2.18E-05
0.3937	-8.68E-05
0.3938	-5.43E-05
0.3939	-0.000151701
0.394	-5.43E-05
0.3941	-0.000119236
0.3942	1.06E-05
0.3943	-5.43E-05
0.3944	-0.000119236
0.3945	-2.18E-05
0.3946	-5.43E-05
0.3947	-8.68E-05
0.3948	-5.43E-05
0.3949	-2.18E-05
0.395	1.06E-05
0.3951	-8.68E-05
0.3952	-5.43E-05
0.3953	-0.000119236
0.3954	-5.43E-05
0.3955	-8.68E-05
0.3956	4.31E-05
0.3957	1.06E-05
0.3958	4.31E-05
0.3959	-8.68E-05
0.396	-5.43E-05
0.3961	-0.000119236
0.3962	4.31E-05
0.3963	-2.18E-05
0.3964	-2.18E-05
0.3965	-5.43E-05
0.3966	-5.43E-05
0.3967	1.06E-05
0.3968	-5.43E-05
0.3969	1.06E-05
0.397	-8.68E-05
0.3971	-2.18E-05
0.3972	-8.68E-05
0.3973	-5.43E-05
0.3974	1.06E-05
0.3975	1.06E-05
0.3976	1.06E-05
0.3977	-2.18E-05
0.3978	-2.18E-05
0.3979	-5.43E-05
0.398	-5.43E-05
0.3981	-2.18E-05
0.3982	0.000108018
0.3983	-2.18E-05
0.3984	-2.18E-05
0.3985	-5.43E-05
0.3986	-5.43E-05
0.3987	7.56E-05
0.3988	-2.18E-05
0.3989	-2.18E-05
0.399	-5.43E-05
0.3991	-5.43E-05
0.3992	4.31E-05
0.3993	1.06E-05
0.3994	-0.000151701
0.3995	-5.43E-05
0.3996	4.31E-05
0.3997	7.56E-05
0.3998	0.000108018
0.3999	-2.18E-05
0.4	1.06E-05
0.4001	4.31E-05
0.4002	4.31E-05
0.4003	4.31E-05
0.4004	1.06E-05
0.4005	1.06E-05
0.4006	-2.18E-05
0.4007	1.06E-05
0.4008	4.31E-05
0.4009	0.000108018
0.401	7.56E-05
0.4011	4.31E-05
0.4012	1.06E-05
0.4013	1.06E-05
0.4014	4.31E-05
0.4015	0.000108018
0.4016	0.000172948
